Algorytm 1;Algorytm 2;Algorytm 3;Algorytm 4;Algorytm 5;Algorytm 6;Algorytm 7;Algorytm 8
0,38139;0,296744;0,272512;0,218487;0,188152;0,223886;0,197715;0,0188147
0,178646;0,301061;0,221981;0,130981;0,192129;0,183299;0,19426;0,216201
0,231026;0,221067;0,302861;0,181107;0,259312;0,28801;0,167539;0,140038
0,127283;0,238754;0,183069;0,230539;0,193524;0,251979;0,184065;0,181074
0,273446;0,164583;0,40129;0,276669;0,268215;0,315215;0,244509;0,188821
0,167085;0,401599;0,210922;0,109929;0,212484;0,25535;0,306339;0,299942
0,445221;0,208492;0,259477;0,280497;0,203153;0,10594;0,215544;0,306732
0,369586;0,158147;0,209503;0,227911;0,225136;0,214864;0,196253;0,17955
0,323443;0,21924;0,306637;0,201748;0,227677;0,344765;0,237981;0,131256
0,242268;0,286574;0,308898;0,227766;0,32585;0,184999;0,193909;0,0655592
0,383765;0,317652;0,271216;0,160255;0,206605;0,17683;0,210404;0,0563592
0,293863;0,23716;0,429347;0,216849;0,164206;0,23195;0,201307;0,245599
0,297593;0,278955;0,280072;0,284396;0,337194;0,220437;0,185599;0,391467
0,226626;0,270846;0,328153;0,233187;0,227449;0,124021;0,197128;0,390916
0,446308;0,412544;0,42722;0,245355;0,159808;0,209098;0,165654;0,195483
0,208453;0,22605;0,217094;0,190116;0,299851;0,232912;0,289202;0,323241
0,325552;0,219905;0,28403;0,266759;0,281555;0,158078;0,15966;0,192122
0,48745;0,430893;0,390009;0,248277;0,187328;0,245333;0,187066;0,128311
0,230909;0,184927;0,242424;0,206502;0,2485;0,214627;0,388751;0,286112
0,273349;0,223367;0,282502;0,314201;0,215343;0,238961;0,189332;0,259636
0,348981;0,298083;0,266743;0,246779;0,176647;0,180719;0,259309;0,268184
0,234185;0,207525;0,309505;0,345969;0,217103;0,305088;0,234011;0,233732
0,366188;0,257124;0,214687;0,242812;0,250259;0,266469;0,380116;0,319234
0,196328;0,344952;0,30918;0,402479;0,208477;0,332364;0,325413;0,450263
0,308015;0,49106;0,273091;0,241003;0,232532;0,270958;0,177813;0,218552
0,345086;0,251784;0,397409;0,367558;0,369628;0,205586;0,25566;0,159578
0,336347;0,19048;0,256726;0,25299;0,187002;0,262941;0,435695;0,204619
0,133052;0,178291;0,216813;0,225335;0,200374;0,185581;0,349382;0,202129
0,555969;0,315587;0,234688;0,184613;0,435993;0,422724;0,293043;0,31003
0,222091;0,357328;0,27463;0,287726;0,352793;0,380952;0,22711;0,296654
0,371535;0,292358;0,226365;0,359707;0,33651;0,312273;0,186687;0,210049
0,331696;0,323985;0,371525;0,262943;0,0812467;0,298197;0,263094;0,272302
0,363376;0,169096;0,21148;0,229264;0,213715;0,264261;0,330093;0,348008
0,35605;0,304154;0,329561;0,396853;0,336673;0,342999;0,214495;0,215157
0,332912;0,365974;0,165185;0,182154;0,292603;0,238181;0,295237;0,228896
